run_dir,method,divergence,lambda,seed,config_hash,acc_k2,acc_k3,acc_k4,acc_k5,acc_k6,acc_k7,acc_k8
b0_sft_seed0,sft,forward_kl,0.0,0,a6f6c8e6b72d,1.0,0.99,0.99,0.46,0.12,0.03,0.08
b0_sft_seed1,sft,forward_kl,0.0,1,a7f1e7e7203e,1.0,1.0,0.99,0.17,0.03,0.03,0.02
b0_sft_seed2,sft,forward_kl,0.0,2,b46b8367e0bc,1.0,1.0,0.99,0.12,0.04,0.04,0.03
b1_seqkd_seed0,seq_kd,forward_kl,0.0,0,aa8da501d051,1.0,0.99,0.99,0.46,0.12,0.03,0.08
b1_seqkd_seed1,seq_kd,forward_kl,0.0,1,60790127b839,1.0,1.0,0.99,0.17,0.03,0.03,0.02
b1_seqkd_seed2,seq_kd,forward_kl,0.0,2,3d5f8dcfbeef,1.0,1.0,0.99,0.12,0.04,0.04,0.03
b2_logitkd_seed0,logit_kd,forward_kl,0.0,0,fb73d5cdb24f,0.07,0.13,0.06,0.09,0.12,0.18,0.14
b2_logitkd_seed1,logit_kd,forward_kl,0.0,1,9e40553638e8,0.11,0.19,0.1,0.09,0.12,0.1,0.11
b2_logitkd_seed2,logit_kd,forward_kl,0.0,2,30c9f7ff903e,0.04,0.19,0.12,0.09,0.08,0.11,0.12
opd_fkl_seed0,on_policy,forward_kl,1.0,0,36a8db6155e9,0.23,0.34,0.13,0.14,0.03,0.13,0.09
opd_fkl_seed1,on_policy,forward_kl,1.0,1,d9fccb6d8504,0.46,0.28,0.12,0.17,0.05,0.08,0.12
opd_fkl_seed2,on_policy,forward_kl,1.0,2,5b8ffb05aaf0,0.34,0.43,0.18,0.13,0.08,0.12,0.16
opd_jsd0.1_seed0,on_policy,generalized_jsd,1.0,0,fef9966c44b0,0.42,0.34,0.2,0.07,0.15,0.16,0.14
opd_jsd0.1_seed1,on_policy,generalized_jsd,1.0,1,6efb9139cea7,0.32,0.29,0.13,0.09,0.05,0.06,0.08
opd_jsd0.1_seed2,on_policy,generalized_jsd,1.0,2,f73a15712ad0,0.37,0.31,0.18,0.18,0.09,0.16,0.1
opd_jsd0.5_seed0,on_policy,generalized_jsd,1.0,0,aa5971fa7414,0.44,0.32,0.17,0.25,0.18,0.23,0.2
opd_jsd0.5_seed1,on_policy,generalized_jsd,1.0,1,3e5377c77372,0.43,0.4,0.21,0.18,0.11,0.1,0.23
opd_jsd0.5_seed2,on_policy,generalized_jsd,1.0,2,e9d95e730d6c,0.44,0.5,0.24,0.23,0.18,0.2,0.16
opd_jsd0.9_seed0,on_policy,generalized_jsd,1.0,0,72ba8f12472a,0.49,0.53,0.31,0.25,0.14,0.17,0.19
opd_jsd0.9_seed1,on_policy,generalized_jsd,1.0,1,72d1e0723024,0.34,0.41,0.28,0.14,0.12,0.17,0.11
opd_jsd0.9_seed2,on_policy,generalized_jsd,1.0,2,e2da39b6237b,0.38,0.44,0.25,0.29,0.24,0.16,0.15
opd_rkl_lam0.0_seed0,on_policy,reverse_kl,0.0,0,b55f7938056b,0.03,0.19,0.1,0.17,0.24,0.18,0.23
opd_rkl_lam0.0_seed1,on_policy,reverse_kl,0.0,1,98fbb45deefe,0.05,0.09,0.12,0.18,0.13,0.2,0.17
opd_rkl_lam0.0_seed2,on_policy,reverse_kl,0.0,2,015abd568dc9,0.02,0.16,0.1,0.1,0.1,0.17,0.14
opd_rkl_lam0.25_seed0,on_policy,reverse_kl,0.25,0,e2e15df2c055,0.33,0.3,0.21,0.19,0.15,0.14,0.17
opd_rkl_lam0.25_seed1,on_policy,reverse_kl,0.25,1,6a924b5c6c34,0.27,0.22,0.15,0.1,0.15,0.15,0.08
opd_rkl_lam0.25_seed2,on_policy,reverse_kl,0.25,2,6d508fbc1839,0.35,0.36,0.2,0.16,0.2,0.2,0.15
opd_rkl_lam0.5_seed0,on_policy,reverse_kl,0.5,0,cc3f96761d1f,0.34,0.35,0.26,0.24,0.26,0.25,0.22
opd_rkl_lam0.5_seed1,on_policy,reverse_kl,0.5,1,c5e9976bcdd7,0.36,0.32,0.25,0.25,0.25,0.22,0.22
opd_rkl_lam0.5_seed2,on_policy,reverse_kl,0.5,2,8118a361f93b,0.46,0.5,0.31,0.32,0.32,0.31,0.24
opd_rkl_lam0.75_seed0,on_policy,reverse_kl,0.75,0,4e790392d491,0.58,0.54,0.38,0.33,0.3,0.31,0.25
opd_rkl_lam0.75_seed1,on_policy,reverse_kl,0.75,1,4bc8413cc950,0.52,0.47,0.36,0.3,0.25,0.24,0.31
opd_rkl_lam0.75_seed2,on_policy,reverse_kl,0.75,2,550644e602e1,0.42,0.43,0.24,0.27,0.23,0.2,0.22
opd_rkl_seed0,on_policy,reverse_kl,1.0,0,ff419567974a,0.54,0.48,0.3,0.31,0.21,0.26,0.24
opd_rkl_seed1,on_policy,reverse_kl,1.0,1,2a3009a4239a,0.46,0.53,0.37,0.19,0.17,0.2,0.22
opd_rkl_seed2,on_policy,reverse_kl,1.0,2,ebd9228b226b,0.45,0.46,0.27,0.16,0.2,0.22,0.16
